Zenit St. Petersburg (Russian),West Bromwich Albion (English)
Zenit St. Petersburg (Russian),Krylia Sovetov (Russian)
Zenit St. Petersburg (Russian),Aarhus (Danish)
Chicago Fire (USA),FC Dallas (USA)
Chicago Fire (USA),Houston Dynamo (USA)
Chicago Fire (USA),San Jose Earthquakes (USA)
Chicago Fire (USA),San Jose Earthquakes (USA)
Chicago Fire (USA),New York Red Bulls (USA)
Chicago Fire (USA),Vancouver Whitecaps (USA)
Chicago Fire (USA),Dundee United (Scottish)
Chivas USA (USA),FC Dallas (USA)
Chivas USA (USA),Colorado Rapids (USA)
Chivas USA (USA),Aldosivi (Mar del Plata) (Argentinian)
Chivas USA (USA),Montreal Impact (USA)
Chivas USA (USA),Tigre (Argentinian)
Chivas USA (USA),Houston Dynamo (USA)
Chivas USA (USA),San Jose Earthquakes (USA)
Chivas USA (USA),Toronto FC (USA)
Chivas USA (USA),Orlando City (USA)
Chivas USA (USA),New York City (USA)
Chivas USA (USA),Toronto FC (USA)
Chivas USA (USA),New England Revolution (USA)
Chivas USA (USA),Houston Dynamo (USA)
Chivas USA (USA),Montreal Impact (USA)
Chivas USA (USA),Colorado Rapids (USA)
Colorado Rapids (USA),Békéscsaba (Hungarian)
Colorado Rapids (USA),Levante (Spanish)
Colorado Rapids (USA),Los Angeles Galaxy (USA)
Colorado Rapids (USA),Columbus Crew (USA)
Colorado Rapids (USA),San Jose Earthquakes (USA)
Colorado Rapids (USA),Vålerenga (Norwegian)
Colorado Rapids (USA),Orlando City (USA)
Columbus Crew (USA),Toronto FC (USA)
Columbus Crew (USA),Chicago Fire (USA)
Columbus Crew (USA),D.C. United (USA)
FC Dallas (USA),Sivasspor (Turkish)
FC Dallas (USA),New York City (USA)
D.C. United (USA),Real Salt Lake (USA)
D.C. United (USA),Antalyaspor (Turkish)
D.C. United (USA),Heart of Midlothian (Scottish)
D.C. United (USA),Orlando City (USA)
D.C. United (USA),Portland Timbers (USA)
D.C. United (USA),Houston Dynamo (USA)
Houston Dynamo (USA),Orlando City (USA)
Houston Dynamo (USA),Chicago Fire (USA)
Houston Dynamo (USA),San Jose Earthquakes (USA)
Houston Dynamo (USA),Orlando City (USA)
Houston Dynamo (USA),De Graafschap (Dutch)
Aberdeen (Scottish),De Graafschap (Dutch)
Houston Dynamo (USA),Orlando City (USA)
Houston Dynamo (USA),Orlando City (USA)
Los Angeles Galaxy (USA),Colorado Rapids (USA)
Los Angeles Galaxy (USA),AIK (Swedish)
Los Angeles Galaxy (USA),Colorado Rapids (USA)
Los Angeles Galaxy (USA),Houston Dynamo (USA)
Montreal Impact (USA),Seattle Sounders (USA)
Montreal Impact (USA),New York Red Bulls (USA)
Montreal Impact (USA),Kalloni (Greek)
Montreal Impact (USA),Aarhus (Danish)
Montreal Impact (USA),New York Red Bulls (USA)
Montreal Impact (USA),Columbus Crew (USA)
New England Revolution (USA),Viking (Norwegian)
New England Revolution (USA),New York City (USA)
New England Revolution (USA),Puskás Akadémia (Hungarian)
New England Revolution (USA),New York City (USA)
New York Red Bulls (USA),Montreal Impact (USA)
New York Red Bulls (USA),Real Salt Lake (USA)
New York Red Bulls (USA),Montreal Impact (USA)
New York Red Bulls (USA),Shanghai Greenland Shenhua (Chinese)
New York Red Bulls (USA),New York City (USA)
New York Red Bulls (USA),Chelsea (English)
Philadelphia Union (USA),Sporting Kansas City (USA)
Philadelphia Union (USA),Colorado Rapids (USA)
Philadelphia Union (USA),Houston Dynamo (USA)
Philadelphia Union (USA),Orlando City (USA)
Philadelphia Union (USA),Bodø/Glimt (Norwegian)
Philadelphia Union (USA),Antalyaspor (Turkish)
Portland Timbers (USA),Los Angeles Galaxy (USA)
Portland Timbers (USA),Colorado Rapids (USA)
Portland Timbers (USA),Estudiantes (La Plata) (Argentinian)
Portland Timbers (USA),Viborg (Danish)
Portland Timbers (USA),Vancouver Whitecaps (USA)
Real Salt Lake (USA),Portland Timbers (USA)
Real Salt Lake (USA),Toronto FC (USA)
Real Salt Lake (USA),Stabæk (Norwegian)
Real Salt Lake (USA),D.C. United (USA)
Real Salt Lake (USA),New York City (USA)
Real Salt Lake (USA),New York City (USA)
Real Salt Lake (USA),New York City (USA)
San Jose Earthquakes (USA),Chicago Fire (USA)
San Jose Earthquakes (USA),Colorado Rapids (USA)
San Jose Earthquakes (USA),Chicago Fire (USA)
San Jose Earthquakes (USA),New York City (USA)
San Jose Earthquakes (USA),FC Dallas (USA)
Seattle Sounders (USA),Sporting Kansas City (USA)
Seattle Sounders (USA),New England Revolution (USA)
Seattle Sounders (USA),Orlando City (USA)
Seattle Sounders (USA),Montreal Impact (USA)
Sporting Kansas City (USA),Montreal Impact (USA)
Sporting Kansas City (USA),New York Red Bulls (USA)
Sporting Kansas City (USA),Quilmes (Argentinian)
Sporting Kansas City (USA),Philadelphia Union (USA)
Sporting Kansas City (USA),Orlando City (USA)
Toronto FC (USA),Ross County (Scottish)
Toronto FC (USA),Philadelphia Union (USA)
Toronto FC (USA),Amkar Perm (Russian)
Toronto FC (USA),Montreal Impact (USA)
Toronto FC (USA),Chicago Fire (USA)
Toronto FC (USA),Montreal Impact (USA)
Toronto FC (USA),New England Revolution (USA)
Vancouver Whitecaps (USA),New York City (USA)
Vancouver Whitecaps (USA),Mjøndalen (Norwegian)
Admira Wacker Mφdling (Austrian),Austria Vienna (Austrian)
Admira Wacker Mφdling (Austrian),Wolfsberger AC (Austrian)
Admira Wacker Mφdling (Austrian),Rapid Vienna (Austrian)
Admira Wacker Mφdling (Austrian),SV Grödig (Austrian)
Austria Vienna (Austrian),Eintracht Frankfurt (German)
Austria Vienna (Austrian),Sturm Graz (Austrian)
Austria Vienna (Austrian),FC Midtjylland (Danish)
Austria Vienna (Austrian),FC Ingolstadt 04 (German)
SV Grödig (Austrian),Red Bull Salzburg (Austrian)
SV Grödig (Austrian),Rapid Vienna (Austrian)
SV Grödig (Austrian),SV Ried (Austrian)
SV Grödig (Austrian),Sturm Graz (Austrian)
SV Grödig (Austrian),Rapid Vienna (Austrian)
SV Grödig (Austrian),Austria Vienna (Austrian)
SV Grödig (Austrian),Austria Vienna (Austrian)
Rapid Vienna (Austrian),Saint-Etienne (French)
Rapid Vienna (Austrian),Lechia Gdańsk (Polish)
Rapid Vienna (Austrian),Admira Wacker Mφdling (Austrian)
Red Bull Salzburg (Austrian),FC København (Danish)
Red Bull Salzburg (Austrian),Bayer Leverkusen (German)
Cerezo Osaka (Japanese),Red Bull Salzburg (Austrian)
Red Bull Salzburg (Austrian),Borussia Mönchengladbach (German)
SC Rheindorf Altach (Austrian),Dundee United (Scottish)
SV Ried (Austrian),Red Bull Salzburg (Austrian)
SV Ried (Austrian),Rapid Vienna (Austrian)
SV Ried (Austrian),Frosinone (Italian)
SV Ried (Austrian),SV Grödig (Austrian)
Sturm Graz (Austrian),Eskişehirspor (Turkish)
Sturm Graz (Austrian),Wolfsberger AC (Austrian)
Sturm Graz (Austrian),Ventforet Kofu (Japanese)
SC Wiener Neustadt (Austrian),Wolfsberger AC (Austrian)
Djurgårdens IF (Swedish),Wolfsberger AC (Austrian)
SC Wiener Neustadt (Austrian),SV Grödig (Austrian)
SC Wiener Neustadt (Austrian),SC Rheindorf Altach (Austrian)
SC Wiener Neustadt (Austrian),SV Grödig (Austrian)
SC Wiener Neustadt (Austrian),Sturm Graz (Austrian)
Wolfsberger AC (Austrian),Admira Wacker Mφdling (Austrian)
Bastia (French),Villarreal (Spanish)
Bastia (French),Paris Saint-Germain (French)
Bastia (French),Montpellier (French)
Bastia (French),Lille (French)
Bastia (French),Rennes (French)
Bastia (French),Nantes (French)
Bordeaux (French),Sporting CP (Portuguese)
Bordeaux (French),Sevilla (Spanish)
Bordeaux (French),Liverpool (English)
Bordeaux (French),Newcastle United (English)
Malmö FF (Swedish),Bordeaux (French)
Bordeaux (French),Kilmarnock (Scottish)
Bordeaux (French),Sunderland (English)
Caen (French),Guingamp (French)
Caen (French),Guingamp (French)
Caen (French),Lille (French)
Caen (French),Kasımpaşa (Turkish)
Caen (French),Nantes (French)
Caen (French),Leicester City (English)
Caen (French),Oud-Heverlee Leuven (Belgian)
Caen (French),Monaco (French)
Caen (French),Lorient (French)
Évian Thonon Gaillard (French),Sydney FC (Australian)
Évian Thonon Gaillard (French),Sivasspor (Turkish)
Évian Thonon Gaillard (French),Nantes (French)
Évian Thonon Gaillard (French),Troyes (French)
Évian Thonon Gaillard (French),Bursaspor (Turkish)
Évian Thonon Gaillard (French),Angers (French)
Évian Thonon Gaillard (French),Celta Vigo (Spanish)
Évian Thonon Gaillard (French),Nantes (French)
Évian Thonon Gaillard (French),Lech Poznań (Polish)
Évian Thonon Gaillard (French),Anzhi Makhachkala (Russian)
Évian Thonon Gaillard (French),Brøndby (Danish)
Évian Thonon Gaillard (French),Bastia (French)
Guingamp (French),Esbjerg (Danish)
Guingamp (French),Celta Vigo (Spanish)
Guingamp (French),Newcastle United (English)
Guingamp (French),Nice (French)
Guingamp (French),Werder Bremen (German)
Lens (French),Oud-Heverlee Leuven (Belgian)
Lens (French),Rennes (French)
Lens (French),Toronto FC (USA)
Lens (French),Gazélec Ajaccio (French)
Lens (French),Debrecen (Hungarian)
Lens (French),Lille (French)
Lens (French),Rennes (French)
Lens (French),Charleroi (Belgian)
Lille (French),Aston Villa (English)
Lille (French),Caen (French)
Lille (French),Monaco (French)
Lille (French),Zulte-Waregem (Belgian)
Lille (French),Fenerbahçe (Turkish)
Lille (French),Club Brugge (Belgian)
Lille (French),Oostende (Belgian)
Lille (French),Saint-Etienne (French)
Lille (French),Liverpool (English)
Lorient (French),Sunderland (English)
Lorient (French),Rio Ave (Portuguese)
Lorient (French),Bastia (French)
Lorient (French),Bastia (French)
Lorient (French),Aston Villa (English)
Lorient (French),Krylia Sovetov (Russian)
Lyon (French),Rennes (French)
Lyon (French),Lazio (Italian)
Lyon (French),Rennes (French)
Lyon (French),Troyes (French)
Lyon (French),Angers (French)
Lyon (French),Tottenham Hotspur (English)
Lyon (French),Lorient (French)
Lyon (French),Lille (French)
Lyon (French),Monaco (French)
Marseille (French),Juventus (Italian)
Marseille (French),Swansea City (English)
Marseille (French),Lyon (French)
Marseille (French),West Ham United (English)
Marseille (French),Stoke City (English)
Metz (French),Reims (French)
Metz (French),Marseille (French)
Metz (French),Atlético Rafaela (Argentinian)
Metz (French),FSV Mainz 05 (German)
Monaco (French),Paris Saint-Germain (French)
Monaco (French),Valencia (Spanish)
Monaco (French),PAOK (Greek)
Monaco (French),Southampton (English)
Monaco (French),Atlético Madrid (Spanish)
Monaco (French),Nice (French)
Monaco (French),Internazionale (Italian)
Monaco (French),Manchester United (English)
Monaco (French),Lorient (French)
Monaco (French),Zulte-Waregem (Belgian)
Montpellier (French),Bologna (Italian)
Montpellier (French),Palmeiras (Brazilian)
Montpellier (French),Reims (French)
Nantes (French),FC Midtjylland (Danish)
Nantes (French),Kasımpaşa (Turkish)
Nantes (French),Caen (French)
Nantes (French),Atalanta (Italian)
Nantes (French),Marseille (French)
Nantes (French),KAA Gent (Belgian)
Nantes (French),Caen (French)
Nantes (French),Aston Villa (English)
Nice (French),Betis (Spanish)
Nice (French),KVC Westerlo (Belgian)
Nice (French),Saint-Etienne (French)
Nice (French),Lille (French)
Nice (French),Saint-Etienne (French)
Nice (French),Aston Villa (English)
Paris Saint-Germain (French),Crystal Palace (English)
Paris Saint-Germain (French),Saint-Etienne (French)
Paris Saint-Germain (French),Lille (French)
Paris Saint-Germain (French),Roma (Italian)
Reims (French),Angers (French)
Reims (French),Lorient (French)
Reims (French),Troyes (French)
Reims (French),IFK Göteborg (Swedish)
Rennes (French),Granada (Spanish)
Rennes (French),Sunderland (English)
Rennes (French),1.FC Köln (German)
Rennes (French),Standard Ličge (Belgian)
Rennes (French),Antalyaspor (Turkish)
Rennes (French),Saint-Etienne (French)
Rennes (French),Nantes (French)
Rennes (French),Rosenborg (Norwegian)
Rennes (French),Gaziantepspor (Turkish)
Rennes (French),Charleroi (Belgian)
Saint-Etienne (French),Bournemouth (English)
Saint-Etienne (French),Guingamp (French)
Saint-Etienne (French),Krylia Sovetov (Russian)
Saint-Etienne (French),Hannover 96 (German)
Saint-Etienne (French),Betis (Spanish)
Saint-Etienne (French),Akhisar Belediyespor (Turkish)
Saint-Etienne (French),Nice (French)
Saint-Etienne (French),Caen (French)
Toulouse (French),Gazélec Ajaccio (French)
Toulouse (French),Belenenses (Portuguese)
Toulouse (French),Troyes (French)
Toulouse (French),Kayserispor (Turkish)
Cerezo Osaka (Japanese),Hannover 96 (German)
Cerezo Osaka (Japanese),Matsumoto Yamaga (Japanese)
Cerezo Osaka (Japanese),Kawasaki Frontale (Japanese)
Gamba Osaka (Japanese),Ventforet Kofu (Japanese)
Kashima Antlers (Japanese),Tondela (Portuguese)
Kashima Antlers (Japanese),Albirex Niigata (Japanese)
Kashiwa Reysol (Japanese),Vissel Kobe (Japanese)
Kashiwa Reysol (Japanese),Shonan Bellmare (Japanese)
Kashiwa Reysol (Japanese),Figueirense (Brazilian)
Kashiwa Reysol (Japanese),Urawa Red Diamonds (Japanese)
Kashiwa Reysol (Japanese),Vegalta Sendai (Japanese)
Kawasaki Frontale (Japanese),Shimizu S-Pulse (Japanese)
Kawasaki Frontale (Japanese),Guangzhou R&F (Chinese)
Kawasaki Frontale (Japanese),Vegalta Sendai (Japanese)
Kawasaki Frontale (Japanese),Shonan Bellmare (Japanese)
Omiya Ardija (Japanese),Kawasaki Frontale (Japanese)
Omiya Ardija (Japanese),Urawa Red Diamonds (Japanese)
Omiya Ardija (Japanese),Vissel Kobe (Japanese)
Omiya Ardija (Japanese),Kashiwa Reysol (Japanese)
Sagan Tosu (Japanese),Vissel Kobe (Japanese)
Sanfrecce Hiroshima (Japanese),Kashima Antlers (Japanese)
Sanfrecce Hiroshima (Japanese),Urawa Red Diamonds (Japanese)
Shimizu S-Pulse (Japanese),Gamba Osaka (Japanese)
Shimizu S-Pulse (Japanese),Urawa Red Diamonds (Japanese)
Shimizu S-Pulse (Japanese),Nagoya Grampus (Japanese)
Shimizu S-Pulse (Japanese),Montedio Yamagata (Japanese)
Shimizu S-Pulse (Japanese),Sagan Tosu (Japanese)
Shimizu S-Pulse (Japanese),Vissel Kobe (Japanese)
Tokushima Vortis (Japanese),Kawasaki Frontale (Japanese)
Tokushima Vortis (Japanese),Montedio Yamagata (Japanese)
Tokushima Vortis (Japanese),Albirex Niigata (Japanese)
Tokushima Vortis (Japanese),Matsumoto Yamaga (Japanese)
Tokushima Vortis (Japanese),Shimizu S-Pulse (Japanese)
FC Tokyo (Japanese),Urawa Red Diamonds (Japanese)
FC Tokyo (Japanese),Vitesse (Dutch)
FC Tokyo (Japanese),Vissel Kobe (Japanese)
FC Tokyo (Japanese),FSV Mainz 05 (German)
Urawa Red Diamonds (Japanese),Shonan Bellmare (Japanese)
Urawa Red Diamonds (Japanese),Shonan Bellmare (Japanese)
Vegalta Sendai (Japanese),Montedio Yamagata (Japanese)
Vegalta Sendai (Japanese),Shimizu S-Pulse (Japanese)
Vegalta Sendai (Japanese),Urawa Red Diamonds (Japanese)
Vegalta Sendai (Japanese),Shimizu S-Pulse (Japanese)
Vegalta Sendai (Japanese),Gamba Osaka (Japanese)
Ventforet Kofu (Japanese),Sanfrecce Hiroshima (Japanese)
Ventforet Kofu (Japanese),Kashiwa Reysol (Japanese)
Ventforet Kofu (Japanese),Shonan Bellmare (Japanese)
Vissel Kobe (Japanese),Śląsk Wrocław (Polish)
Vissel Kobe (Japanese),Vegalta Sendai (Japanese)
Vissel Kobe (Japanese),Shimizu S-Pulse (Japanese)
Yokohama F Marinos (Japanese),Montedio Yamagata (Japanese)
Yokohama F Marinos (Japanese),Shonan Bellmare (Japanese)
Yokohama F Marinos (Japanese),Albirex Niigata (Japanese)
Yokohama F Marinos (Japanese),Vegalta Sendai (Japanese)
Aberdeen (Scottish),Ross County (Scottish)
Aberdeen (Scottish),Dundee (Scottish)
Aberdeen (Scottish),St Johnstone (Scottish)
Celtic (Scottish),Sunderland (English)
Celtic (Scottish),Southampton (English)
Celtic (Scottish),Celta Vigo (Spanish)
Celtic (Scottish),Getafe (Spanish)
Celtic (Scottish),Galatasaray (Turkish)
Celtic (Scottish),SV Darmstadt 98 (German)
Celtic (Scottish),Frosinone (Italian)
Celtic (Scottish),Las Palmas (Spanish)
Celtic (Scottish),St Johnstone (Scottish)
Celtic (Scottish),Motherwell (Scottish)
Celtic (Scottish),Partick Thistle (Scottish)
Dundee United (Scottish),Legia Warszawa (Polish)
Dundee United (Scottish),Heart of Midlothian (Scottish)
Dundee United (Scottish),Pogoń Szczecin (Polish)
Dundee United (Scottish),Eskişehirspor (Turkish)
Dundee United (Scottish),Ross County (Scottish)
Hamilton Academical (Scottish),West Ham United (English)
Hamilton Academical (Scottish),Excelsior (Dutch)
Hamilton Academical (Scottish),Bournemouth (English)
Inverness Caledonian Thistle (Scottish),Aberdeen (Scottish)
Inverness Caledonian Thistle (Scottish),Dundee United (Scottish)
Sogndal (Norwegian),Dundee United (Scottish)
Inverness Caledonian Thistle (Scottish),Dundee (Scottish)
Inverness Caledonian Thistle (Scottish),Celtic (Scottish)
Kilmarnock (Scottish),Motherwell (Scottish)
Kilmarnock (Scottish),Békéscsaba (Hungarian)
Motherwell (Scottish),St Johnstone (Scottish)
Motherwell (Scottish),Inverness Caledonian Thistle (Scottish)
Partick Thistle (Scottish),Ross County (Scottish)
Partick Thistle (Scottish),Kilmarnock (Scottish)
Partick Thistle (Scottish),Kilmarnock (Scottish)
Ross County (Scottish),Haugesund (Norwegian)
St Johnstone (Scottish),Ross County (Scottish)
St Johnstone (Scottish),Motherwell (Scottish)
St Johnstone (Scottish),Partick Thistle (Scottish)
St Mirren (Scottish),De Graafschap (Dutch)
Anderlecht (Belgian),Trabzonspor (Turkish)
Anderlecht (Belgian),Marseille (French)
Anderlecht (Belgian),Oostende (Belgian)
Anderlecht (Belgian),Newcastle United (English)
Anderlecht (Belgian),KVC Westerlo (Belgian)
Anderlecht (Belgian),Willem II (Dutch)
Anderlecht (Belgian),De Graafschap (Dutch)
Anderlecht (Belgian),Newcastle United (English)
Cercle Brugge (Belgian),Royal Mouscron-Péruwelz (Belgian)
Cercle Brugge (Belgian),NEC Nijmegen (Dutch)
Cercle Brugge (Belgian),Puskás Akadémia (Hungarian)
Cercle Brugge (Belgian),Kortrijk (Belgian)
Cercle Brugge (Belgian),Zulte-Waregem (Belgian)
Charleroi (Belgian),FC Nordsjælland (Danish)
Charleroi (Belgian),KRC Genk (Belgian)
Charleroi (Belgian),KAA Gent (Belgian)
Charleroi (Belgian),Oud-Heverlee Leuven (Belgian)
Charleroi (Belgian),KRC Genk (Belgian)
Club Brugge (Belgian),Valencia (Spanish)
Club Brugge (Belgian),Espanyol (Spanish)
Club Brugge (Belgian),Bursaspor (Turkish)
Club Brugge (Belgian),Panionios (Greek)
Club Brugge (Belgian),Zulte-Waregem (Belgian)
Club Brugge (Belgian),Watford (English)
KRC Genk (Belgian),Anderlecht (Belgian)
KRC Genk (Belgian),KVC Westerlo (Belgian)
KRC Genk (Belgian),Kortrijk (Belgian)
KRC Genk (Belgian),Troyes (French)
KRC Genk (Belgian),Aarhus (Danish)
KRC Genk (Belgian),Lazio (Italian)
KRC Genk (Belgian),KVC Westerlo (Belgian)
KRC Genk (Belgian),Waasland-Beveren (Belgian)
KRC Genk (Belgian),Sint-Truiden (Belgian)
KRC Genk (Belgian),Eskişehirspor (Turkish)
KAA Gent (Belgian),Mechelen (Belgian)
KAA Gent (Belgian),Charleroi (Belgian)
KAA Gent (Belgian),Royal Mouscron-Péruwelz (Belgian)
KAA Gent (Belgian),Sint-Truiden (Belgian)
KAA Gent (Belgian),Zulte-Waregem (Belgian)
KAA Gent (Belgian),Oostende (Belgian)
KAA Gent (Belgian),Sint-Truiden (Belgian)
Kortrijk (Belgian),Club Brugge (Belgian)
Kortrijk (Belgian),Rizespor (Turkish)
Kortrijk (Belgian),Standard Ličge (Belgian)
Kortrijk (Belgian),KAA Gent (Belgian)
Kortrijk (Belgian),Oostende (Belgian)
Kortrijk (Belgian),Waasland-Beveren (Belgian)
Lierse (Belgian),Reims (French)
Lierse (Belgian),Mechelen (Belgian)
Lierse (Belgian),Montpellier (French)
